Sample No,Distance (Light),Distance (Dark),Be,Cr,Fe,Ni,Cu,As,Cd,Ba,Tl,Pb,U
85,675.63419,605.6598773,0.010785771,0.025848193,295.9324583,0.23874751,541.6583886,0.104134734,0.060822216,1.378598965,0,6.546185653,0.028964137
86,8073.463,10069.66261,0.005922095,0.219586013,14.25000901,0.114084323,0.142252645,8.602694472,0.000417339,0.161106685,0,0.081999096,1.480774664
87,5795.116824,7725.572063,0.024810016,0.052310949,4.20718451,0.087025448,15.64847861,0.518478747,0.096283531,0.655600841,0,0.306852491,0.671106513
88,5490.355981,5990.801201,0.146,0.052,0.55,0.103,54.712,0.082,0.009,0.128,0,0.692,3.399
89,6735.30621,9181.08574,0.03158885,0,1370.35571,0.234727826,0.281119879,8.869644218,0.007335943,43.36268941,0,0.458209844,0.139620844
90,5942.4974,8049.999876,0,0,0.742234809,0.009640093,2.09491713,1.883398405,0.000426079,74.77448597,0,0.067648482,2.867833303
91,15410.016,24278.7775,0.028109308,0,195.3286803,0,1.603523928,2.696233959,0.001103289,1.507291949,0,0.096666525,0.050911006
92,6012.40557,6136.484541,0.001,0.125,0.724,0,33.25,0.085,0,0.11,0,0.201,2.309
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
