Sample No,Distance (Light),Distance (Dark),Be,Cr,Fe,Ni,Cu,As,Cd,Ba,Tl,Pb,U
65,9.043170797278846,9.213115845171286,0.0,0.06794982013167004,0.038924200195855664,0.017045454545454544,0.032286138824028865,0.0016837025190032868,0.0485665597628175,0.04608492055922652,0.0,0.1670884459003122,0.041817347982284446
66,9.243325180304394,9.49693832848658,0.0,0.0,0.027927055521098545,0.0,0.0014328168117172574,0.027107610555952916,0.0485665597628175,0.02105353212916243,0.0,0.007407862133511378,0.021671300398113973
67,9.401343661811413,9.714427985450214,0.0,0.0,0.008661984558020372,0.10369318181818182,0.0013266822330715348,0.25104004558339005,0.0,0.04084579274828287,0.0,0.1506265300480647,0.00044486540406685573
68,9.320136828085928,9.814196298601003,0.0,0.0,0.06256517286232763,0.0,0.006478402109953895,0.022096896141846532,0.0,0.02710560293586142,0.0,0.015712934344298424,0.008798878214259266
69,7.746767937390725,8.138741203777728,0.0,0.0,0.01098607093130124,0.1281541004218051,0.06453522973567596,0.012390299489086697,0.04491174991686914,0.019510015378565507,0.0,0.39048272371395226,0.0007781206062024395
71,8.127881614863153,8.185198734930488,0.0,0.0,0.002428415904300048,0.567400209539071,0.08664806264084537,0.12650509986929007,0.07099774527870016,0.00602924818725716,0.0,0.07567970873118454,0.1370178049449488
72,9.414381495341424,9.586986940551808,0.0,0.0,0.0,0.007102272727272727,0.004043727446402037,0.009428734106418406,0.0,0.007276566404088399,0.0,0.0016461915852247506,0.0658559678520399
73,8.517976754950135,8.633185653408274,0.0,0.0,0.04800121691579464,0.1704156593000341,0.09351240198441212,0.0017754477206958544,0.17958665390910705,0.0752750634743395,0.0,0.5869507422341949,0.0007693011496610936
74,7.923751913119294,7.873128593981419,0.0,0.0,0.006783885988024221,0.09150553923364871,0.516902827735899,0.00098802942123763,0.16936709503290956,0.18964150764811857,0.0,0.47067906533739595,1.5575950719059416e-05
75,7.903666523571925,8.281056389567778,0.0,0.0,0.018282445017783304,0.0,0.0031824834805365635,0.06135235513564965,0.0,0.5248377012972063,0.0,0.010751863597467626,0.0010433384465419256
76,8.240419921030373,8.386602934703333,0.0,0.030906380068774573,0.1527085924187082,0.05733255486117841,0.14844523251001698,0.003056330136329536,0.06959099063236152,0.12889535107320144,0.0,0.4406758653217744,9.82225254018004e-05
77,8.764605676086813,9.110584414813184,0.0,0.0,0.005480328898966554,0.05539772727272727,0.04920399066015707,0.007239920831714132,0.0485665597628175,0.08440817028742541,0.0,0.023869777985758883,0.00039720125363112117
78,8.653821984095687,8.46131191962191,0.18991972141637914,0.0,0.008079470274189088,0.1230534065984615,0.22954425856831243,0.0044786811133753985,0.03635817285965592,0.05621525264315828,0.0,0.027004677523578893,4.082876789524254e-05
80,8.675896048061045,9.202828670321637,0.0,0.0,0.050147513844768614,0.0,0.0009016094298408873,0.011508528515271326,0.0,0.15677330212572899,0.0,0.00918061983520176,0.0008776790045724542
81,8.520008369281925,8.81303847645937,0.0,0.0,0.008770423282774525,0.018982386750225854,0.06228939079459032,0.003008919495357155,0.02635281322823321,0.011379049200669377,0.0,0.1021114846018549,0.10973623723134243
82,8.294796061460282,8.38534047664236,0.0,0.39904578979918776,0.10230994583526953,0.030420018796467045,0.20220096364507326,0.006806385681326044,0.028174154969166944,0.08696766871162906,0.0,0.008097712856268953,0.01283467771817443
83,9.665599474850389,9.894394121329569,0.11557351426754572,0.0,0.0011388966213786026,0.024409773324570172,0.011074561349209828,0.0195065250772237,0.014500025533747692,0.001561322664314848,0.0,0.01423142570289716,0.04943406613585927
84,8.87749121765856,9.09132577250632,0.3219021264565552,0.027179928052668022,0.07768056075832087,0.024147727272727276,0.01716196136701337,0.003030664534205916,0.02428327988140875,0.036576873791217684,0.0,0.01646191585224751,7.944025072622425e-05
86,8.996337789416518,9.217282480351574,0.021181498196328887,0.05968332025899976,0.01039876646964696,0.016205159577857953,2.3617750862283995e-05,0.14484378352285698,0.0010134360910368332,0.0015630713262088476,0.0,0.005926215275879614,0.0023526622113338577
87,8.664770915018453,8.95229115244376,0.08873774323513313,0.014218078329000931,0.003070140459935686,0.012361569332924302,0.016481085340875716,0.008729639729076718,0.23380799346153544,0.006360697405210156,0.0,0.024433803636138448,0.0010662573932246934
88,8.610748374113648,8.69798043853664,0.5221967829184117,0.014133562587387368,0.0004013556450641285,0.014630681818181817,0.05794098917427298,0.001380636065582695,0.02185495189326787,0.00124186733296442,0.0,0.056135133056163994,0.005400348244368724
89,8.815118553289782,9.12490074895207,0.11298353365446362,0.0,1.0,0.03334202073732599,0.0001710039045642783,0.14933842312937415,0.017814076381449623,0.4207086518938164,0.0,0.03689196371322331,0.00022183029761184474
90,8.68988476170796,8.993427355008881,0.0,0.0,0.00054163660072046,0.0013693313440825328,0.0020960699743652195,0.031710826379854465,0.001034659165473742,0.7254686833614067,0.0,0.0047450222717265855,0.004556427931995897
91,9.642772966730234,10.097357893631242,0.10053828963436799,0.0,0.14253866997813722,0.0,0.0015745318701375925,0.045396559090401196,0.002679147593636503,0.014623879941441017,0.0,0.007133485197774593,8.088766127769708e-05
92,8.701580208677376,8.722007306791607,0.0035766902939617243,0.03397491006583502,0.0005283299764116891,0.0,0.035162385905327956,0.0014311471411527937,0.0,0.0010672297392662986,0.0,0.01572112963889637,0.0036685507785370356
